generated_at,claim_id,readme_location,readme_claim,stance_to_claim,evidence_type,source_title,doi,scite_query_used,relation_note,preliminary_quality_tier,recommended_next_step,status
2026-07-01,C1,Problem statement / trust-boundary definition,Tool output injection is best framed as an agent-tool trust-boundary and authority-confusion failure.,support,README_source,Formalizing and Benchmarking Prompt Injection Attacks and Defenses,10.48550/arxiv.2310.12815,README title lookup; threshold filters,"Supports formal prompt-injection framing and benchmark terminology, but does not by itself formalize the proposed agent-tool boundary.",Tier 1 - USENIX Security 2024 page in README,Use for definitions; explain how your boundary metric extends it.,scite_matched_candidate_not_yet_human_read
2026-07-01,C1,Problem statement / trust-boundary definition,Tool output injection is best framed as an agent-tool trust-boundary and authority-confusion failure.,support,additional_scite_discovered,A Framework for Formalizing LLM Agent Security,10.48550/arxiv.2603.19469,"(""tool output"" OR ""tool result"") AND ""prompt injection"" AND ""LLM agent""",Candidate formal agent-security framework that may help justify the boundary/control-object vocabulary.,Tier 3 - recent preprint,Read to see whether its formalism overlaps or conflicts with your boundary definition.,scite_discovered_candidate_not_yet_human_read
2026-07-01,C1,Problem statement / trust-boundary definition,Tool output injection is best framed as an agent-tool trust-boundary and authority-confusion failure.,support,additional_scite_discovered,SoK: Trust-Authorization Mismatch in LLM Agent Interactions,10.48550/arxiv.2512.06914,"""tool poisoning"" OR ""malicious tool"" ""LLM agent"" ""prompt injection""",Candidate SoK that may directly support the trust/authority mismatch framing.,Tier 3 - recent preprint,High-priority read for related-work framing if it defines trust/authorization mismatches.,scite_discovered_candidate_not_yet_human_read
2026-07-01,C2,Attack surface / prior work,Indirect prompt injection affects real-world LLM-integrated applications and tool-using agents.,support,README_source,Not What You've Signed Up For: Compromising Real-World LLM-Integrated Applications with Indirect Prompt Injection,10.1145/3605764.3623985,README title lookup; threshold filters,Core source for real-world indirect prompt injection in LLM-integrated applications.,"Tier 2 - influential peer-reviewed/workshop paper, verify rank",Use in motivation and threat-model section.,scite_matched_candidate_not_yet_human_read
2026-07-01,C2,Attack surface / prior work,Indirect prompt injection affects real-world LLM-integrated applications and tool-using agents.,support,README_source,InjecAgent: Benchmarking Indirect Prompt Injections in Tool-Integrated Large Language Model Agents,10.18653/v1/2024.findings-acl.624,README title lookup; threshold filters,Direct agent-specific benchmark evidence.,Tier 2 - ACL Findings,Use to justify tool-integrated-agent task selection.,scite_matched_candidate_not_yet_human_read
2026-07-01,C2,Browser-rendered or accessibility-derived content,Browser-rendered or accessibility-tree content can carry indirect prompt injection into web agents.,support,additional_scite_discovered,Manipulating LLM Web Agents with Indirect Prompt Injection Attack via HTML Accessibility Tree,10.48550/arxiv.2507.14799,"""accessibility tree"" ""prompt injection"" ""web agent"" ""LLM""",Direct candidate for the accessibility-tree entry point in the README.,Tier 3 - recent preprint,Read before deciding whether accessibility-tree injection remains in primary scope.,scite_discovered_candidate_not_yet_human_read
2026-07-01,C2,Browser-rendered or accessibility-derived content,Web-agent benchmarks can test prompt-injection security beyond generic tool outputs.,support,additional_scite_discovered,WASP: Benchmarking Web Agent Security Against Prompt Injection Attacks,10.48550/arxiv.2504.18575,"""accessibility tree"" ""prompt injection"" ""web agent"" ""LLM""",Candidate web-agent security benchmark; may help scope browser-specific sub-study.,Tier 3 - recent preprint,Compare its metrics with your boundary-crossing metrics.,scite_discovered_candidate_not_yet_human_read
2026-07-01,C3,H1 / structured and protocol-mediated carriers,Structured fields and constrained interfaces may reduce compromise relative to unconstrained free-text tool results.,support,README_source,StruQ: Defending Against Prompt Injection with Structured Queries,10.48550/arxiv.2402.06363,"""structured"" ""prompt injection"" ""LLM"" ""defending""",Direct structured-channel defence baseline for H1.,Tier 3 - preprint unless venue found,Read methods and limitations before claiming structured outputs reduce risk.,scite_matched_candidate_not_yet_human_read
2026-07-01,C3,H1 / provenance controls,Provenance marking can help distinguish trusted instructions from untrusted data.,support,README_source,Defending Against Indirect Prompt Injection Attacks With Spotlighting,10.48550/arxiv.2403.14720,README title lookup; threshold filters,Direct provenance-marking defence baseline.,Tier 3 - preprint unless venue found,"Use as parser/provenance baseline, not as complete architectural defence.",scite_matched_candidate_not_yet_human_read
2026-07-01,C3,H1 / parser baseline,Tool-result parsing is a candidate boundary-control defence.,support,README_source,Defense Against Indirect Prompt Injection via Tool Result Parsing,10.48550/arxiv.2601.04795,"(""tool output"" OR ""tool result"") AND ""prompt injection"" AND ""LLM agent""",Directly aligned with boundary mediation and parser-only baseline.,Tier 3 - recent preprint,Read to define the parser-only defence condition.,scite_matched_candidate_not_yet_human_read
