id,zotero_collection,source_type,is_academic_paper,quality_tier,quality_basis,source,title,domain,url,core_rank,journal_quartile,verification_status,recommended_use,notes
1,Prompt injection and threat model,government guidance,no,Authoritative grey,NCSC government guidance; not a paper,NCSC,Prompt injection is not SQL injection,ncsc.gov.uk,https://www.ncsc.gov.uk/blog-post/prompt-injection-is-not-sql-injection,needs manual lookup,not applicable or needs lookup,preliminary,Use for motivation and threat framing,
2,Agent tooling and runtimes,vendor API docs,no,Authoritative grey,OpenAI official tooling docs; not scholarly evidence,OpenAI,Tools,developers.openai.com,https://developers.openai.com/api/docs/guides/tools,needs manual lookup,not applicable or needs lookup,preliminary,Use for interface facts only,
3,Models and runtimes,vendor model docs,no,Authoritative grey,OpenAI official model docs; volatile,OpenAI,Models,developers.openai.com,https://developers.openai.com/api/docs/models,needs manual lookup,not applicable or needs lookup,preliminary,Verify again before experiments,
4,Agent tooling and runtimes,vendor API docs,no,Authoritative grey,Anthropic official tool-use docs,Anthropic,Tool use overview,docs.anthropic.com,https://docs.anthropic.com/en/docs/build-with-claude/tool-use/overview,needs manual lookup,not applicable or needs lookup,preliminary,Use for tool-use interface facts,
5,Agent benchmarks,academic paper,yes,Tier 2 - verify venue,OpenReview paper; venue/rank should be verified in Zotero,Debenedetti et al,AgentDojo: A Dynamic Environment to Evaluate Prompt Injection Attacks and Defenses for LLM Agents,openreview.net,https://openreview.net/pdf?id=m1YYAQjO3w,needs manual lookup,not applicable or needs lookup,needs venue verification,Read early; likely central benchmark,
6,MCP security and protocol,vendor API docs,no,Authoritative grey,OpenAI official MCP/connectors docs,OpenAI,"Tools, connectors, and MCP",developers.openai.com,https://developers.openai.com/api/docs/guides/tools-connectors-mcp,needs manual lookup,not applicable or needs lookup,preliminary,Use for MCP surface and vendor cautions,
7,MCP security and protocol,protocol specification,no,Authoritative grey,MCP specification; standard/protocol source,Model Context Protocol,Specification 2025-11-25,modelcontextprotocol.io,https://modelcontextprotocol.io/specification/2025-11-25,needs manual lookup,not applicable or needs lookup,preliminary,Use for exact carrier definitions,
8,Models and runtimes,vendor model docs,no,Authoritative grey,Anthropic official model lifecycle docs,Anthropic,Model deprecations,docs.anthropic.com,https://docs.anthropic.com/en/docs/about-claude/model-deprecations,needs manual lookup,not applicable or needs lookup,preliminary,Planning only; verify later,
9,Agent tooling and runtimes,framework docs,no,Authoritative grey,LangGraph official docs,LangChain,LangGraph overview,docs.langchain.com,https://docs.langchain.com/oss/python/langgraph/overview,needs manual lookup,not applicable or needs lookup,preliminary,Use for runtime capability facts,
10,Agent tooling and runtimes,vendor API docs,no,Authoritative grey,OpenAI official Assistants API docs,OpenAI,Assistants API tools,developers.openai.com,https://developers.openai.com/api/docs/assistants/tools,needs manual lookup,not applicable or needs lookup,preliminary,Probably secondary to current Responses API docs,
11,Models and runtimes,model card,no,Authoritative grey,Hugging Face model card; not peer reviewed,Meta,Llama-3.3-70B-Instruct,huggingface.co,https://huggingface.co/meta-llama/Llama-3.3-70B-Instruct,needs manual lookup,not applicable or needs lookup,preliminary,Use for reproducibility baseline details,
12,Defences,academic paper,yes,Tier 2 - recent preprint,arXiv 2026; check publication status before thesis,Yu et al,Defense Against Indirect Prompt Injection via Tool Result Parsing,arxiv.org,https://arxiv.org/abs/2601.04795,needs manual lookup,not applicable or needs lookup,preliminary,Read after core benchmark papers,
13,Defences,industry engineering note,no,Authoritative grey,Anthropic engineering blog; strong practitioner source,Anthropic,How we contain Claude,anthropic.com,https://www.anthropic.com/engineering/how-we-contain-claude,needs manual lookup,not applicable or needs lookup,preliminary,"Use for containment framing, not novelty claim",
14,Venue planning,conference CFP,no,Venue info,USENIX CFP; not evidence source,USENIX Security 2026,Call for Papers,usenix.org,https://www.usenix.org/conference/usenixsecurity26/call-for-papers,needs manual lookup,not applicable or needs lookup,preliminary,Use only for target venue planning,
15,Foundations,academic paper,yes,Tier 1 - top ML venue if ICLR verified,ReAct is commonly cited as ICLR 2023; verify venue metadata,Yao et al,ReAct: Synergizing Reasoning and Acting in Language Models,arxiv.org,https://arxiv.org/abs/2210.03629,needs manual lookup,not applicable or needs lookup,needs venue verification,Core foundation for agent loop,
