generated_at,query_group,query_or_filter,result_summary,limitations
2026-07-01,README DOI/title matching,titles=[README academic paper titles],"Matched 15 academic paper entries from README, including arXiv and published DOI variants.","Scite endpoint returned DOI/URL, not full raw tally JSON."
2026-07-01,Citing publication thresholds,"citing_publications_from in [1,5,10,25,50,100,250,500]","Used DOI batches to infer ranges such as 1-4, 5-9, 10-24, 25-49, 50-99, 100-249, 250-499.",Threshold-derived ranges are not exact citation counts.
2026-07-01,Supporting thresholds,"supporting_from in [1,5,10]",Only a small subset reached supporting_from >=1; GCG reached 5-9; none reached 10.,Absence of a supporting threshold hit does not mean the paper is weak; many CS citations are neutral/background.
2026-07-01,Contrasting thresholds,contrasting_from=1,No README DOI in the batch reached a Scite contrasting threshold of 1.,"No hit means no Scite-indexed contrasting citation context found through this endpoint/DOI batch, not proof that no criticism exists."
2026-07-01,Mentioning thresholds,"mentioning_from in [1,5,10,25,50,100,250,500,1000,2000]",Most README papers had many neutral/background mentioning contexts; GCG reached 1000-1999.,Mentioning ranges appear to count citation statements/contexts and can exceed citing-publication ranges.
2026-07-01,Additional evidence - tool output,"(""tool output"" OR ""tool result"") AND ""prompt injection"" AND ""LLM agent""","Found candidate defences and frameworks including CausalArmor, ARGUS, AgentWatcher, AgentSentry, and tool-result parsing.",Candidates require human reading before final thesis citation.
2026-07-01,Additional evidence - structured defences,"""structured"" ""prompt injection"" ""LLM"" ""defending""","Found StruQ, DataFilter, AgentVisor, PlanGuard, SecAlign, and related defences.",Search result presence does not establish effectiveness.
2026-07-01,Additional evidence - adaptive attacks,"""adaptive attacks"" ""indirect prompt injection"" ""LLM agents""","Found Adaptive Attacks Break Defenses, AgentVigil, AttriGuard, ClawGuard, and related work.",Use to pressure-test H4 rather than as automatic support for all proposed defences.
2026-07-01,Additional evidence - memory/persistence,"""memory"" ""prompt injection"" ""LLM agents"" ""indirect""","Found AgentSentry, ClawGuard, AgentVigil, ARGUS, and forensic/adaptive attack papers.",Direct memory-persistence evidence remains a gap; several results are adjacent.
2026-07-01,Additional evidence - MCP,"(""Model Context Protocol"" OR MCP) AND ""prompt injection"" AND ""LLM agents""","Found MCP prompt-injection/security/threat-model papers including Breaking the Protocol, SMCP, MCPThreatHive, MCP-38, and ObliInjection.",Mostly 2026 preprints; treat as candidate literature until venue and content are verified.
2026-07-01,Additional evidence - tool poisoning,"""tool poisoning"" OR ""malicious tool"" ""LLM agent"" ""prompt injection""","Found MCP tool-poisoning, trust-authorization mismatch, coding assistant attack, and formalization candidates.","Relevant to MCP and tool-catalogue entry points, but may exceed current thesis scope."
