id,source,title,category,domain,url,extra
1,NCSC,Prompt injection is not SQL injection,guidance,ncsc.gov.uk,https://www.ncsc.gov.uk/blog-post/prompt-injection-is-not-sql-injection,
2,OpenAI,Tools,API docs,developers.openai.com,https://developers.openai.com/api/docs/guides/tools,
3,OpenAI,Models,model docs,developers.openai.com,https://developers.openai.com/api/docs/models,
4,Anthropic,Tool use overview,API docs,docs.anthropic.com,https://docs.anthropic.com/en/docs/build-with-claude/tool-use/overview,
5,Debenedetti et al,AgentDojo: A Dynamic Environment to Evaluate Prompt Injection Attacks and Defenses for LLM Agents,benchmark,openreview.net,https://openreview.net/pdf?id=m1YYAQjO3w,
6,OpenAI,"Tools, connectors, and MCP",API docs,developers.openai.com,https://developers.openai.com/api/docs/guides/tools-connectors-mcp,
7,Model Context Protocol,Specification 2025-11-25,protocol spec,modelcontextprotocol.io,https://modelcontextprotocol.io/specification/2025-11-25,
8,Anthropic,Model deprecations,model docs,docs.anthropic.com,https://docs.anthropic.com/en/docs/about-claude/model-deprecations,
9,LangChain,LangGraph overview,framework docs,docs.langchain.com,https://docs.langchain.com/oss/python/langgraph/overview,
10,OpenAI,Assistants API tools,API docs,developers.openai.com,https://developers.openai.com/api/docs/assistants/tools,
11,Meta,Llama-3.3-70B-Instruct,model card,huggingface.co,https://huggingface.co/meta-llama/Llama-3.3-70B-Instruct,
12,Yu et al,Defense Against Indirect Prompt Injection via Tool Result Parsing,defence,arxiv.org,https://arxiv.org/abs/2601.04795,
13,Anthropic,How we contain Claude,guidance,anthropic.com,https://www.anthropic.com/engineering/how-we-contain-claude,
14,USENIX Security 2026,Call for Papers,venue,usenix.org,https://www.usenix.org/conference/usenixsecurity26/call-for-papers,
15,Yao et al,ReAct: Synergizing Reasoning and Acting in Language Models,agent method,arxiv.org,https://arxiv.org/abs/2210.03629,
16,LangChain,Middleware overview,framework docs,docs.langchain.com,https://docs.langchain.com/oss/python/langchain/middleware/overview,
17,Greshake et al,Not what you've signed up for: Compromising real-world LLM-integrated applications with indirect prompt injection,attack paper,arxiv.org,https://arxiv.org/abs/2302.12173,
18,Liu et al,Formalizing and Benchmarking Prompt Injection Attacks and Defenses,benchmark,usenix.org,https://www.usenix.org/conference/usenixsecurity24/presentation/liu-yupei,
19,Zhan et al,InjecAgent: Benchmarking Indirect Prompt Injections in Tool-Integrated Large Language Model Agents,benchmark,arxiv.org,https://arxiv.org/abs/2403.02691,
20,Zhang et al,Agent Security Bench: Formalizing and Benchmarking Attacks and Defenses in LLM-based Agents,benchmark,arxiv.org,https://arxiv.org/abs/2410.02644,
21,Hines et al,Defending Against Indirect Prompt Injection Attacks With Spotlighting,defence,arxiv.org,https://arxiv.org/abs/2403.14720,
22,Chen et al,StruQ: Defending Against Prompt Injection with Structured Queries,defence,arxiv.org,https://arxiv.org/abs/2402.06363,
23,Liu et al,DataSentinel: A Game-Theoretic Detection of Prompt Injection Attacks,defence,arxiv.org,https://arxiv.org/abs/2504.11358,
24,Zhu et al,MELON: Indirect Prompt Injection Defense via Masked Re-execution and Tool Comparison,defence,arxiv.org,https://arxiv.org/abs/2502.05174,
25,Beurer-Kellner et al,Design Patterns for Securing LLM Agents against Prompt Injections,design patterns,arxiv.org,https://arxiv.org/abs/2506.08837,
26,OWASP GenAI Security Project,LLM01: Prompt Injection,guidance,genai.owasp.org,https://genai.owasp.org/llmrisk/llm01-prompt-injection/,
27,Microsoft Learn,Defend against indirect prompt injection attacks,guidance,learn.microsoft.com,https://learn.microsoft.com/en-us/security/zero-trust/sfi/defend-indirect-prompt-injection,
28,Model Context Protocol,Security best practices,protocol security,modelcontextprotocol.io,https://modelcontextprotocol.io/docs/tutorials/security/security_best_practices,
29,OpenAI,Designing agents to resist prompt injection,guidance,openai.com,https://openai.com/index/designing-agents-to-resist-prompt-injection/,
30,Zou et al,Universal and Transferable Adversarial Attacks on Aligned Language Models,attack method,arxiv.org,https://arxiv.org/abs/2307.15043,"(arXiv:2307.15043, 2023) — the GCG algorithm; code at [llm-attacks/llm-attacks](https://github.com/llm-attacks/llm-attacks)"
31,GraySwanAI,"nanoGCG: a fast, lightweight PyTorch implementation of GCG",tool/code,github.com,https://github.com/GraySwanAI/nanoGCG,(`pip install nanogcg`)
32,Alon & Kamfonas,Detecting Language Model Attacks with Perplexity,detector,arxiv.org,https://arxiv.org/abs/2308.14132,"(arXiv:2308.14132, 2023)"
33,Jain et al,Baseline Defenses for Adversarial Attacks Against Aligned Language Models,baseline defence,arxiv.org,https://arxiv.org/abs/2309.00614,"(arXiv:2309.00614, 2023)"
