generated_at,record_source,freshness_flag,zotero_item_id,zotero_key,zotero_item_type,zotero_topic_collection,zotero_collection_paths,zotero_tier_collection,theme,title,authors,first_author,year,doi,url,venue,provisional_tier,tier_basis,evidence_role,scite_match_status,scite_canonical_doi,scite_url,scite_citing_publications_range,scite_supporting_context_range,scite_mentioning_context_range,scite_contrasting_context_range,scite_context_interpretation,quality_flags,recommended_next_step,screening_status,limitations
2026-07-01,zotero,older_zotero_entry,3,U3S2Z98J,preprint,08 Surveys and SoK Papers,MSc Thesis - Tool-Output Injection / 08 Surveys and SoK Papers,,Prompt injection core,The Landscape of Prompt Injection Threats in LLM Agents: From Taxonomy to Analysis,Peiran Wang; Xinfeng Li; Chong Xiang; Jinghuai Zhang; Ying Li; Lixia Zhang; Xiaofeng Wang; Yuan Tian,Peiran Wang,2026,10.48550/arXiv.2602.10453,http://arxiv.org/abs/2602.10453,arXiv,T3_or_watchlist,"Preprint, repository, broad journal, or uncertain venue; read and verify before thesis citation.",Threat model and indirect prompt-injection foundation.,matched_in_scite_session,10.48550/arxiv.2602.10453,https://doi.org/10.48550/arxiv.2602.10453,not estimated in this pass (Scite raw tally unavailable),not estimated in this pass (Scite raw tally unavailable),not estimated in this pass (Scite raw tally unavailable),not estimated in this pass (Scite raw tally unavailable),Scite DOI/title matched where available; raw tally not returned by plugin endpoint.,new_arxiv_preprint,Skim first; cite only after source/venue and claim quality are confirmed.,included_from_zotero_needs_human_reading,Zotero T1/T2/T3 folders are empty; provisional tier is inferred and must be manually verified against CORE/JCR/SJR.
2026-07-01,zotero,older_zotero_entry,9,ARW8GSEM,preprint,06 Defences and Guardrails,MSc Thesis - Tool-Output Injection / 06 Defences and Guardrails || MSc Thesis - Tool-Output Injection / 07 Long-Horizon and Memory Risks,,Defences and guardrails,VIGIL: Defending LLM Agents Against Tool Stream Injection via Verify-Before-Commit,Junda Lin; Zhaomeng Zhou; Zhi Zheng; Shuochen Liu; Tong Xu; Yong Chen; Enhong Chen,Junda Lin,2026,10.48550/arXiv.2601.05755,http://arxiv.org/abs/2601.05755,arXiv,T3_or_watchlist,"Preprint, repository, broad journal, or uncertain venue; read and verify before thesis citation.",Candidate defence/baseline for RQ2.,matched_in_scite_session,10.48550/arxiv.2601.05755,https://doi.org/10.48550/arxiv.2601.05755,not estimated in this pass (Scite raw tally unavailable),not estimated in this pass (Scite raw tally unavailable),not estimated in this pass (Scite raw tally unavailable),not estimated in this pass (Scite raw tally unavailable),Scite DOI/title matched where available; raw tally not returned by plugin endpoint.,new_arxiv_preprint,Skim first; cite only after source/venue and claim quality are confirmed.,included_from_zotero_needs_human_reading,Zotero T1/T2/T3 folders are empty; provisional tier is inferred and must be manually verified against CORE/JCR/SJR.
2026-07-01,zotero,zotero_added_since_2026-05-01,16,Y9FIC86A,conferencePaper,01 Foundations - LLM Agents and Tool Use,MSc Thesis - Tool-Output Injection / 01 Foundations - LLM Agents and Tool Use || MSc Thesis - Tool-Output Injection / 10 To Verify,,Foundations - LLM agents and tool use,Toolformer: Language Models Can Teach Themselves to Use Tools,Timo Schick; Jane Dwivedi-Yu; Roberto Dessi; Roberta Raileanu; Maria Lomeli; Eric Hambro; Luke Zettlemoyer; Nicola Cancedda; Thomas Scialom,Timo Schick,2023,,https://neurips.cc/virtual/2023/poster/71288,Thirty-seventh Conference on Neural Information Processing Systems,T1_provisional,Known top-tier or near top-tier CS/AI/security venue signal; verify exact CORE/venue metadata.,Foundation for LLM agent/tool-use architecture.,matched_in_scite_session,10.48550/arxiv.2302.04761,https://arxiv.org/pdf/2302.04761,not estimated in this pass (Scite raw tally unavailable),not estimated in this pass (Scite raw tally unavailable),not estimated in this pass (Scite raw tally unavailable),not estimated in this pass (Scite raw tally unavailable),Scite DOI/title matched where available; raw tally not returned by plugin endpoint.,,Read abstract and methods; verify venue/rank before final citation.,included_from_zotero_needs_human_reading,Zotero T1/T2/T3 folders are empty; provisional tier is inferred and must be manually verified against CORE/JCR/SJR.
2026-07-01,zotero,zotero_added_since_2026-05-01,18,UBYMAY8X,conferencePaper,03 Agent Security Benchmarks,MSc Thesis - Tool-Output Injection / 03 Agent Security Benchmarks || MSc Thesis - Tool-Output Injection / 10 To Verify,,Agent security benchmarks,InjecAgent: Benchmarking Indirect Prompt Injections in Tool-Integrated Large Language Model Agents,Qiusi Zhan; Zhixiang Liang; Zifan Ying; Daniel Kang; Lun-Wei Ku; Andre Martins; Vivek Srikumar,Qiusi Zhan,2024,10.18653/v1/2024.findings-acl.624,https://aclanthology.org/2024.findings-acl.624/,Findings of the Association for Computational Linguistics: ACL 2024,T1_provisional,Known top-tier or near top-tier CS/AI/security venue signal; verify exact CORE/venue metadata.,Benchmark/methodology candidate for task and metric design.,matched_in_scite_session,10.18653/v1/2024.findings-acl.624,https://aclanthology.org/2024.findings-acl.624.pdf,10 to 24,0,5 to 9,0,Agent-specific benchmark; Scite shows neutral mentioning rather than explicit support/dispute.,,Read methods/metrics and compare against proposed boundary-crossing metrics.,included_from_zotero_needs_human_reading,Zotero T1/T2/T3 folders are empty; provisional tier is inferred and must be manually verified against CORE/JCR/SJR.
2026-07-01,zotero,zotero_added_since_2026-05-01,21,DTTZMEMY,journalArticle,07 Long-Horizon and Memory Risks,MSc Thesis - Tool-Output Injection / 07 Long-Horizon and Memory Risks,,Long-horizon and memory risks,Clawed and Dangerous: Can We Trust Open Agentic Systems?,Shiping Chen; Qin Wang; Guangsheng Yu; Xu Wang; Liming Zhu,Shiping Chen,2026,10.48550/arXiv.2603.26221,https://arxiv.org/abs/2603.26221,arXiv,T3_or_watchlist,"Preprint, repository, broad journal, or uncertain venue; read and verify before thesis citation.","Candidate for persistence, memory, delayed compromise, or long-horizon risk.",matched_in_scite_session,10.48550/arxiv.2603.26221,https://doi.org/10.48550/arxiv.2603.26221,not estimated in this pass (Scite raw tally unavailable),not estimated in this pass (Scite raw tally unavailable),not estimated in this pass (Scite raw tally unavailable),not estimated in this pass (Scite raw tally unavailable),Scite DOI/title matched where available; raw tally not returned by plugin endpoint.,new_arxiv_preprint,Skim first; cite only after source/venue and claim quality are confirmed.,included_from_zotero_needs_human_reading,Zotero T1/T2/T3 folders are empty; provisional tier is inferred and must be manually verified against CORE/JCR/SJR.
2026-07-01,zotero,zotero_added_since_2026-05-01,22,YNQJ8ZEK,journalArticle,07 Long-Horizon and Memory Risks,MSc Thesis - Tool-Output Injection / 07 Long-Horizon and Memory Risks,,Long-horizon and memory risks,Deep Research Brings Deeper Harm,Shuo Chen; Zonggen Li; Zhen Han; Bailan He; Tong Liu; Haokun Chen; Georg Groh; Philip Torr; Volker Tresp; Jindong Gu,Shuo Chen,2025,10.48550/arXiv.2510.11851,https://arxiv.org/abs/2510.11851,arXiv,T3_or_watchlist,"Preprint, repository, broad journal, or uncertain venue; read and verify before thesis citation.","Candidate for persistence, memory, delayed compromise, or long-horizon risk.",matched_in_scite_session,10.48550/arxiv.2510.11851,https://doi.org/10.48550/arxiv.2510.11851,not estimated in this pass (Scite raw tally unavailable),not estimated in this pass (Scite raw tally unavailable),not estimated in this pass (Scite raw tally unavailable),not estimated in this pass (Scite raw tally unavailable),Scite DOI/title matched where available; raw tally not returned by plugin endpoint.,,Skim first; cite only after source/venue and claim quality are confirmed.,included_from_zotero_needs_human_reading,Zotero T1/T2/T3 folders are empty; provisional tier is inferred and must be manually verified against CORE/JCR/SJR.
2026-07-01,zotero,zotero_added_since_2026-05-01,23,YAYM83IN,journalArticle,10 To Verify,MSc Thesis - Tool-Output Injection / 10 To Verify,,Defences and guardrails,VIGIL: Defending LLM Agents Against Tool Stream Injection via Verify-Before-Commit,Junda Lin; Zhaomeng Zhou; Zhi Zheng; Shuochen Liu; Tong Xu; Yong Chen; Enhong Chen,Junda Lin,2026,10.48550/arXiv.2601.05755,https://arxiv.org/abs/2601.05755,arXiv,T3_or_watchlist,"Preprint, repository, broad journal, or uncertain venue; read and verify before thesis citation.",Candidate defence/baseline for RQ2.,matched_in_scite_session,10.48550/arxiv.2601.05755,https://doi.org/10.48550/arxiv.2601.05755,not estimated in this pass (Scite raw tally unavailable),not estimated in this pass (Scite raw tally unavailable),not estimated in this pass (Scite raw tally unavailable),not estimated in this pass (Scite raw tally unavailable),Scite DOI/title matched where available; raw tally not returned by plugin endpoint.,new_arxiv_preprint,Skim first; cite only after source/venue and claim quality are confirmed.,included_from_zotero_needs_human_reading,Zotero T1/T2/T3 folders are empty; provisional tier is inferred and must be manually verified against CORE/JCR/SJR.
2026-07-01,zotero,zotero_added_since_2026-05-01,24,T5BB6VLC,journalArticle,05 Attack Generation and Adaptive Attacks,MSc Thesis - Tool-Output Injection / 05 Attack Generation and Adaptive Attacks,,Attack generation and adaptive attacks,Prompt Injection Attack to Tool Selection in LLM Agents,Jiawen Shi; Zenghui Yuan; Guiyao Tie; Pan Zhou; Neil Zhenqiang Gong; Lichao Sun,Jiawen Shi,2025,10.48550/arXiv.2504.19793,https://arxiv.org/abs/2504.19793,arXiv,T3_or_watchlist,"Preprint, repository, broad journal, or uncertain venue; read and verify before thesis citation.",Adaptive attack/red-team/stress-test candidate.,matched_in_scite_session,10.48550/arxiv.2504.19793,https://doi.org/10.48550/arxiv.2504.19793,not estimated in this pass (Scite raw tally unavailable),not estimated in this pass (Scite raw tally unavailable),not estimated in this pass (Scite raw tally unavailable),not estimated in this pass (Scite raw tally unavailable),Scite DOI/title matched where available; raw tally not returned by plugin endpoint.,,Skim first; cite only after source/venue and claim quality are confirmed.,included_from_zotero_needs_human_reading,Zotero T1/T2/T3 folders are empty; provisional tier is inferred and must be manually verified against CORE/JCR/SJR.
2026-07-01,zotero,zotero_added_since_2026-05-01,25,LQ75FM86,journalArticle,05 Attack Generation and Adaptive Attacks,MSc Thesis - Tool-Output Injection / 05 Attack Generation and Adaptive Attacks,,Attack generation and adaptive attacks,Les Dissonances: Cross-Tool Harvesting and Polluting in Pool-of-Tools Empowered LLM Agents,Zichuan Li; Jian Cui; Xiaojing Liao; Luyi Xing,Zichuan Li,2025,10.48550/arXiv.2504.03111,https://arxiv.org/abs/2504.03111,arXiv,T3_or_watchlist,"Preprint, repository, broad journal, or uncertain venue; read and verify before thesis citation.",Adaptive attack/red-team/stress-test candidate.,matched_in_scite_session,10.48550/arxiv.2504.03111,https://arxiv.org/pdf/2504.03111,not estimated in this pass (Scite raw tally unavailable),not estimated in this pass (Scite raw tally unavailable),not estimated in this pass (Scite raw tally unavailable),not estimated in this pass (Scite raw tally unavailable),Scite DOI/title matched where available; raw tally not returned by plugin endpoint.,,Skim first; cite only after source/venue and claim quality are confirmed.,included_from_zotero_needs_human_reading,Zotero T1/T2/T3 folders are empty; provisional tier is inferred and must be manually verified against CORE/JCR/SJR.
2026-07-01,zotero,zotero_added_since_2026-05-01,26,DXKN3P76,journalArticle,08 Surveys and SoK Papers,MSc Thesis - Tool-Output Injection / 08 Surveys and SoK Papers,,Defences and guardrails,"Prompt Injection Attacks in Large Language Models and AI Agent Systems: A Comprehensive Review of Vulnerabilities, Attack Vectors, and Defense Mechanisms",Saidakhror Gulyamov; Said Gulyamov; Andrey Rodionov; others,Saidakhror Gulyamov,2026,10.3390/info17010054,https://doi.org/10.3390/info17010054,Information,T2_or_T3_verify,Scholarly item type but venue quality was not identified automatically.,Candidate defence/baseline for RQ2.,matched_in_scite_session,10.3390/info17010054,https://doi.org/10.3390/info17010054,not estimated in this pass (Scite raw tally unavailable),not estimated in this pass (Scite raw tally unavailable),not estimated in this pass (Scite raw tally unavailable),not estimated in this pass (Scite raw tally unavailable),Scite DOI/title matched where available; raw tally not returned by plugin endpoint.,,Read limitations and test assumptions before using as defence evidence.,included_from_zotero_needs_human_reading,Zotero T1/T2/T3 folders are empty; provisional tier is inferred and must be manually verified against CORE/JCR/SJR.
