paper,category,recommended_zotero_folder,corrected_tier,t3_subcategory,venue,year,doi,scite_citing_publications,scite_supporting,scite_questioning,scite_mentioning,classification_reason
AgentHarm: A Benchmark for Measuring Harmfulness of LLM Agents,Agent security benchmarks,T1,T1,,The Thirteenth International Conference on Learning Representations,2024,,Not estimated,Not estimated,Not estimated,Not estimated,Top-tier or near-top-tier venue signal detected; still verify exact CORE/SJR/JCR entry before final thesis citation.
API-Bank: A Comprehensive Benchmark for Tool-Augmented LLMs,Agent security benchmarks,T1,T1,,Proceedings of the 2023 Conference on Empirical Methods in Natural Language Processing,2023,10.18653/v1/2023.emnlp-main.187,Not estimated,Not estimated,Not estimated,Not estimated,Top-tier or near-top-tier venue signal detected; still verify exact CORE/SJR/JCR entry before final thesis citation.
Identifying the Risks of LM Agents with an LM-Emulated Sandbox,Agent security benchmarks,T1,T1,,The Twelfth International Conference on Learning Representations,2023,,Not estimated,Not estimated,Not estimated,Not estimated,Top-tier or near-top-tier venue signal detected; still verify exact CORE/SJR/JCR entry before final thesis citation.
OS-Harm: A Benchmark for Measuring Safety of Computer Use Agents,Agent security benchmarks,T1,T1,,The Thirty-ninth Annual Conference on Neural Information Processing Systems Datasets and Benchmarks Track,2025,,Not estimated,Not estimated,Not estimated,Not estimated,Top-tier or near-top-tier venue signal detected; still verify exact CORE/SJR/JCR entry before final thesis citation.
SafeToolBench: Pioneering a Prospective Benchmark to Evaluating Tool Utilization Safety in LLMs,Agent security benchmarks,T1,T1,,The 2025 Conference on Empirical Methods in Natural Language Processing,2025,10.18653/v1/2025.findings-emnlp.958,Not estimated,Not estimated,Not estimated,Not estimated,Top-tier or near-top-tier venue signal detected; still verify exact CORE/SJR/JCR entry before final thesis citation.
ToolSword: Unveiling Safety Issues of Large Language Models in Tool Learning Across Three Stages,Agent security benchmarks,T1,T1,,Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),2024,10.18653/v1/2024.acl-long.119,Not estimated,Not estimated,Not estimated,Not estimated,Top-tier or near-top-tier venue signal detected; still verify exact CORE/SJR/JCR entry before final thesis citation.
Les Dissonances: Cross-Tool Harvesting and Polluting in Pool-of-Tools Empowered LLM Agents,Attack generation and adaptive attacks; Agent security benchmarks,T1,T1,,arXiv; The Network and Distributed System Security (NDSS) Symposium 2026,2025,10.48550/arXiv.2504.03111,Not estimated,Not estimated,Not estimated,Not estimated,Top-tier or near-top-tier venue signal detected; still verify exact CORE/SJR/JCR entry before final thesis citation.
Prompt Injection Attack to Tool Selection in LLM Agents,Attack generation and adaptive attacks; Agent security benchmarks,T1,T1,,arXiv; The Network and Distributed System Security (NDSS) Symposium 2026,2025; 2026,10.48550/arXiv.2504.19793; 10.14722/ndss.2026.230675,Not estimated,Not estimated,Not estimated,Not estimated,Top-tier or near-top-tier venue signal detected; still verify exact CORE/SJR/JCR entry before final thesis citation.
AgentDojo: A Dynamic Environment to Evaluate Prompt Injection Attacks and Defenses for LLM Agents,Defences and guardrails,T1,T1,,Advances in Neural Information Processing Systems,2024,10.52202/079017-2636,1 to 4,1 to 4,0,50 to 99,Top-tier or near-top-tier venue signal detected; still verify exact CORE/SJR/JCR entry before final thesis citation.
Benchmarking and Defending against Indirect Prompt Injection Attacks on Large Language Models,Defences and guardrails,T1,T1,,Proceedings of the 31st ACM SIGKDD Conference on Knowledge Discovery and Data Mining V.1,2025,10.1145/3690624.3709179,Not estimated,Not estimated,Not estimated,Not estimated,Top-tier or near-top-tier venue signal detected; still verify exact CORE/SJR/JCR entry before final thesis citation.
