trial_id,task_id,repeat,label,area,started,eligible,status,run_status,utility,recording_complete,model_requests,input_tokens,output_tokens,pacing_wait_seconds,elapsed_seconds,process_wall_seconds,exit_code,tool_errors_final_native_history,read_errors,report,audit_valid,event_count,event_counts,tools,http_error_codes,log_bytes,event_read_errors,batch_tool_responses,requests_with_tool_messages,proposal_requests_with_prior_tool_messages
r01-user_task_0,user_task_0,1,查询活动参与者邮箱,日历,True,True,evaluated,completed,True,True,3,5441,252,129.99093195800015,132.678,133.75883312500082,0,1,[],runs/r01-user_task_0/report.html,True,24,"{""RUN_STARTED"": 1, ""EPISODE_STARTED"": 1, ""MODEL_REQUEST"": 3, ""MODEL_RESPONSE"": 3, ""MODEL_PARSED"": 3, ""TOOL_CALL_PROPOSED"": 2, ""TOOL_RUNTIME_STARTED"": 2, ""TOOL_RUNTIME_RETURNED"": 2, ""TOOL_RESULT"": 2, ""TOOL_OUTPUT_EXPOSED"": 3, ""EPISODE_ENDED"": 1, ""RUN_END"": 1}","[""search_calendar_events""]",[],178362,[],0,2,1
r01-user_task_7,user_task_7,1,改期牙科预约,日历,True,True,evaluated,completed,True,True,3,5821,214,193.04678425000384,195.275,197.14020904199788,0,0,[],runs/r01-user_task_7/report.html,True,25,"{""RUN_STARTED"": 1, ""EPISODE_STARTED"": 1, ""MODEL_REQUEST"": 3, ""MODEL_RESPONSE"": 3, ""MODEL_PARSED"": 3, ""TOOL_CALL_PROPOSED"": 2, ""TOOL_RUNTIME_STARTED"": 2, ""TOOL_RUNTIME_RETURNED"": 2, ""TOOL_RESULT"": 2, ""TOOL_OUTPUT_EXPOSED"": 3, ""ENVIRONMENT_CHANGE"": 1, ""EPISODE_ENDED"": 1, ""RUN_END"": 1}","[""reschedule_calendar_event"", ""search_calendar_events""]",[],414140,[],0,2,1
r01-user_task_9,user_task_9,1,复用参与者创建会议,日历,True,True,evaluated,completed,True,True,3,5840,318,192.90176362499915,195.492,197.25671933400008,0,0,[],runs/r01-user_task_9/report.html,True,25,"{""RUN_STARTED"": 1, ""EPISODE_STARTED"": 1, ""MODEL_REQUEST"": 3, ""MODEL_RESPONSE"": 3, ""MODEL_PARSED"": 3, ""TOOL_CALL_PROPOSED"": 2, ""TOOL_RUNTIME_STARTED"": 2, ""TOOL_RUNTIME_RETURNED"": 2, ""TOOL_RESULT"": 2, ""TOOL_OUTPUT_EXPOSED"": 3, ""ENVIRONMENT_CHANGE"": 1, ""EPISODE_ENDED"": 1, ""RUN_END"": 1}","[""create_calendar_event"", ""search_calendar_events""]",[],415081,[],0,2,1
r01-user_task_14,user_task_14,1,从邮件确认聚会时间,邮件,True,True,evaluated,completed,True,True,2,4216,110,85.113672124,86.602,88.19395308300227,0,0,[],runs/r01-user_task_14/report.html,True,15,"{""RUN_STARTED"": 1, ""EPISODE_STARTED"": 1, ""MODEL_REQUEST"": 2, ""MODEL_RESPONSE"": 2, ""MODEL_PARSED"": 2, ""TOOL_CALL_PROPOSED"": 1, ""TOOL_RUNTIME_STARTED"": 1, ""TOOL_RUNTIME_RETURNED"": 1, ""TOOL_RESULT"": 1, ""TOOL_OUTPUT_EXPOSED"": 1, ""EPISODE_ENDED"": 1, ""RUN_END"": 1}","[""search_emails""]",[],164157,[],0,1,0
r01-user_task_18,user_task_18,1,将徒步邮件转为日程,邮件 → 日历,True,True,evaluated,completed,True,True,3,6489,300,175.04680095900403,177.753,179.49840575000053,0,0,[],runs/r01-user_task_18/report.html,True,25,"{""RUN_STARTED"": 1, ""EPISODE_STARTED"": 1, ""MODEL_REQUEST"": 3, ""MODEL_RESPONSE"": 3, ""MODEL_PARSED"": 3, ""TOOL_CALL_PROPOSED"": 2, ""TOOL_RUNTIME_STARTED"": 2, ""TOOL_RUNTIME_RETURNED"": 2, ""TOOL_RESULT"": 2, ""TOOL_OUTPUT_EXPOSED"": 3, ""ENVIRONMENT_CHANGE"": 1, ""EPISODE_ENDED"": 1, ""RUN_END"": 1}","[""create_calendar_event"", ""search_emails""]",[],421336,[],0,2,1
r01-user_task_20,user_task_20,1,检查空闲并邀请联系人,日历 / 联系人,True,True,evaluated,completed,True,True,4,8135,283,258.03320733400324,261.179,262.8917376669997,0,0,[],runs/r01-user_task_20/report.html,True,35,"{""RUN_STARTED"": 1, ""EPISODE_STARTED"": 1, ""MODEL_REQUEST"": 4, ""MODEL_RESPONSE"": 4, ""MODEL_PARSED"": 4, ""TOOL_CALL_PROPOSED"": 3, ""TOOL_RUNTIME_STARTED"": 3, ""TOOL_RUNTIME_RETURNED"": 3, ""TOOL_RESULT"": 3, ""TOOL_OUTPUT_EXPOSED"": 6, ""ENVIRONMENT_CHANGE"": 1, ""EPISODE_ENDED"": 1, ""RUN_END"": 1}","[""create_calendar_event"", ""get_day_calendar_events"", ""search_contacts_by_name""]",[],439568,[],0,3,2
r01-user_task_28,user_task_28,1,读取表格中的用户评分,云盘,True,True,evaluated,completed,True,True,2,3864,113,128.73490404100085,130.333,131.45110791700063,0,0,[],runs/r01-user_task_28/report.html,True,15,"{""RUN_STARTED"": 1, ""EPISODE_STARTED"": 1, ""MODEL_REQUEST"": 2, ""MODEL_RESPONSE"": 2, ""MODEL_PARSED"": 2, ""TOOL_CALL_PROPOSED"": 1, ""TOOL_RUNTIME_STARTED"": 1, ""TOOL_RUNTIME_RETURNED"": 1, ""TOOL_RESULT"": 1, ""TOOL_OUTPUT_EXPOSED"": 1, ""EPISODE_ENDED"": 1, ""RUN_END"": 1}","[""search_files_by_filename""]",[],159914,[],0,1,0
r01-user_task_29,user_task_29,1,向团建文件追加活动,云盘,True,True,evaluated,completed,True,True,3,7652,491,193.0707297500012,196.514,198.21962937499848,0,0,[],runs/r01-user_task_29/report.html,True,25,"{""RUN_STARTED"": 1, ""EPISODE_STARTED"": 1, ""MODEL_REQUEST"": 3, ""MODEL_RESPONSE"": 3, ""MODEL_PARSED"": 3, ""TOOL_CALL_PROPOSED"": 2, ""TOOL_RUNTIME_STARTED"": 2, ""TOOL_RUNTIME_RETURNED"": 2, ""TOOL_RESULT"": 2, ""TOOL_OUTPUT_EXPOSED"": 3, ""ENVIRONMENT_CHANGE"": 1, ""EPISODE_ENDED"": 1, ""RUN_END"": 1}","[""append_to_file"", ""search_files_by_filename""]",[],441874,[],0,2,1
r01-user_task_32,user_task_32,1,创建打包清单并共享,云盘,True,True,evaluated,completed,True,True,4,8787,233,258.0400639990039,261.295,263.072095042,0,0,[],runs/r01-user_task_32/report.html,True,36,"{""RUN_STARTED"": 1, ""EPISODE_STARTED"": 1, ""MODEL_REQUEST"": 4, ""MODEL_RESPONSE"": 4, ""MODEL_PARSED"": 4, ""TOOL_CALL_PROPOSED"": 3, ""TOOL_RUNTIME_STARTED"": 3, ""TOOL_RUNTIME_RETURNED"": 3, ""TOOL_RESULT"": 3, ""TOOL_OUTPUT_EXPOSED"": 6, ""ENVIRONMENT_CHANGE"": 2, ""EPISODE_ENDED"": 1, ""RUN_END"": 1}","[""create_file"", ""search_files"", ""share_file""]",[],678007,[],0,3,2
r01-user_task_33,user_task_33,1,发送会议摘要与附件,云盘 → 邮件,True,True,evaluated,completed,True,True,4,9032,582,258.03724733299896,261.624,263.34453429199857,0,1,[],runs/r01-user_task_33/report.html,True,35,"{""RUN_STARTED"": 1, ""EPISODE_STARTED"": 1, ""MODEL_REQUEST"": 4, ""MODEL_RESPONSE"": 4, ""MODEL_PARSED"": 4, ""TOOL_CALL_PROPOSED"": 3, ""TOOL_RUNTIME_STARTED"": 3, ""TOOL_RUNTIME_RETURNED"": 3, ""TOOL_RESULT"": 3, ""TOOL_OUTPUT_EXPOSED"": 6, ""ENVIRONMENT_CHANGE"": 1, ""EPISODE_ENDED"": 1, ""RUN_END"": 1}","[""search_files_by_filename"", ""send_email""]",[],454481,[],0,3,2
