issue_type,paper,expected_folder,expected_tier,actual_tier,zotero_keys,zotero_paths,note
watchlist_candidate_omitted_from_zotero,AgentVigil: Generic Black-Box Red-teaming for Indirect Prompt Injection against LLM Agents,Watchlist-low-signal-preprint,Watchlist,,,,"Markdown/classification table has this Watchlist candidate, but current Zotero inventory has no close title/DOI match; likely okay if intentionally omitted as low-quality or low-signal."
watchlist_candidate_omitted_from_zotero,Can Model Internals Detect MCP Tool Poisoning That Text Analysis Cannot?,Watchlist-low-source-confidence,Watchlist,,,,"Markdown/classification table has this Watchlist candidate, but current Zotero inventory has no close title/DOI match; likely okay if intentionally omitted as low-quality or low-signal."
watchlist_candidate_omitted_from_zotero,Measuring What Survives: Pressure-Filtered Persistence and a Masking Index for LLM-Agent Safety Evaluation,Watchlist-low-source-confidence,Watchlist,,,,"Markdown/classification table has this Watchlist candidate, but current Zotero inventory has no close title/DOI match; likely okay if intentionally omitted as low-quality or low-signal."
watchlist_candidate_omitted_from_zotero,SECREFLECT: Reliable Context Evolution for Autonomous Cyber Agents via Pre-Memory Reflection Validation,Watchlist-low-source-confidence,Watchlist,,,,"Markdown/classification table has this Watchlist candidate, but current Zotero inventory has no close title/DOI match; likely okay if intentionally omitted as low-quality or low-signal."
watchlist_candidate_omitted_from_zotero,The Instruction Hierarchy: Training LLMs to Prioritize Privileged Instructions,Watchlist-low-signal-preprint,Watchlist,,,,"Markdown/classification table has this Watchlist candidate, but current Zotero inventory has no close title/DOI match; likely okay if intentionally omitted as low-quality or low-signal."
watchlist_candidate_omitted_from_zotero,Why Single-Layer LLM Guardrails Fail: A Dual-Detection Pattern on AWS Bedrock,Watchlist-low-source-confidence,Watchlist,,,,"Markdown/classification table has this Watchlist candidate, but current Zotero inventory has no close title/DOI match; likely okay if intentionally omitted as low-quality or low-signal."
zotero_not_in_markdown,Defending Against Prompt Injection with a Few DefensiveTokens,,,T2,MYKJW6M4,MSc Thesis - Tool-Output Injection / 06 Defences and Guardrails / T2,"Current Zotero has this paper, but it is not in the markdown/classification table."
wrong_broad_tier,Agent Security Bench (ASB): Formalizing and Benchmarking Attacks and Defenses in LLM-based Agents,T3-supported-or-mentioned-preprint,T3,T1,U4HNQJW8,MSc Thesis - Tool-Output Injection / 03 Agent Security Benchmarks / T1,"Expected broad tier T3, but Zotero tier folder is T1."
wrong_broad_tier,"Context, Reasoning, and Hierarchy: A Cost-Performance Study of Compound LLM Agent Design in an Adversarial POMDP",T2,T2,T1,YV9SURRK,MSc Thesis - Tool-Output Injection / 01 Foundations - LLM Agents and Tool Use / T1,"Expected broad tier T2, but Zotero tier folder is T1."
wrong_broad_tier,Formalizing and Benchmarking Prompt Injection Attacks and Defenses,T3-supported-or-mentioned-preprint,T3,T1,A64EF5SD,MSc Thesis - Tool-Output Injection / 06 Defences and Guardrails / T1,"Expected broad tier T3, but Zotero tier folder is T1."
